name,description,barcode,category_name,subcategory_name,tracking_type,total_quantity,in_stock_quantity,location
Shure SM58,Dynamic vocal microphone,MIC-SM58-001,Microphones,Wired Microphones,quantity,10,8,Cabinet A1
Shure SM57,Dynamic instrument microphone,MIC-SM57-001,Microphones,Wired Microphones,quantity,8,7,Cabinet A1
Sennheiser EW 100,Wireless handheld system,MIC-EW100-001,Microphones,Wireless Microphones,quantity,5,5,Cabinet A2
AKG C414,Large diaphragm condenser,MIC-C414-001,Microphones,Condenser Microphones,quantity,4,4,Cabinet A3
XLR Cable 25ft,25 foot XLR cable,CABLE-XLR25-001,Cables,XLR Cables,quantity,50,45,Cable Rack 1
XLR Cable 50ft,50 foot XLR cable,CABLE-XLR50-001,Cables,XLR Cables,quantity,30,28,Cable Rack 1
Speaker Cable 25ft,25 foot Speakon cable,CABLE-SPK25-001,Cables,Speaker Cables,quantity,20,18,Cable Rack 2
QSC K12.2,12 inch powered PA speaker,SPK-K12-001,Speakers,Main PA,quantity,8,8,Speaker Storage
Yamaha DXR15,15 inch powered monitor,SPK-DXR15-001,Speakers,Monitors,quantity,6,6,Speaker Storage
QSC KS212C,Dual 12 inch powered subwoofer,SPK-KS212-001,Speakers,Subwoofers,quantity,4,4,Speaker Storage
